route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
19429,fc73eb8fc73e9,fc73eb8fc73e9P1,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P2,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P3,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P4,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P5,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P6,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P7,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P8,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P9,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P10,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P11,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P12,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P13,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P14,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P15,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P16,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P17,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P18,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P19,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P20,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P21,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P22,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P23,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P24,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P25,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P26,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P27,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P28,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P29,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P30,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P31,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P32,Ida,,0,,19429,,
19429,fc73eb8fc73e9,fc73eb8fc73e9P33,Ida,,0,,19429,,
